ID,sex,race,educ,yob,hhincome2021,parent_edu
696,male,hispanic,None,1982,120000,less than HS
699,male,black,AA,1984,0,BA or more
700,female,black,GED,1980,6000,less than HS
702,male,black,HS,1982,190000,less than HS
704,female,nonblacknonhispanic,HS,1981,69800,Some college
705,female,nonblacknonhispanic,HS,1980,105314,BA or more
706,male,nonblacknonhispanic,AA,1982,103000,BA or more
707,female,nonblacknonhispanic,BA,1982,201000,Some college
709,female,hispanic,HS,1981,33600,less than HS
710,female,black,MA,1982,65001,Some college
713,female,black,HS,1983,55000,less than HS
714,male,black,HS,1984,185000,Some college
715,female,black,AA,1984,141200,Some college
716,male,hispanic,HS,1982,599728,less than HS
717,male,black,HS,1980,133000,HS
718,male,black,HS,1982,94000,BA or more
719,male,black,MA,1981,192000,BA or more
720,male,nonblacknonhispanic,HS,1980,135000,BA or more
721,female,hispanic,BA,1981,227000,Some college
722,male,nonblacknonhispanic,HS,1983,350000,Some college
725,female,black,ProfD,1980,345000,BA or more
727,female,black,ProfD,1984,0,BA or more
728,female,black,AA,1983,48000,Some college
729,male,black,BA,1980,80000,Some college
730,female,nonblacknonhispanic,HS,1983,67500,Some college
732,female,nonblacknonhispanic,MA,1984,202000,BA or more
735,female,nonblacknonhispanic,MA,1980,599728,BA or more
737,male,nonblacknonhispanic,HS,1982,175000,BA or more
738,male,nonblacknonhispanic,MA,1981,114500,BA or more
739,female,nonblacknonhispanic,MA,1982,104125,BA or more
740,female,nonblacknonhispanic,MA,1984,179500,BA or more
741,female,nonblacknonhispanic,MA,1982,226117,BA or more
742,female,nonblacknonhispanic,BA,1982,95750,BA or more
745,male,nonblacknonhispanic,BA,1980,189000,BA or more
746,male,nonblacknonhispanic,HS,1982,599728,BA or more
749,female,black,HS,1983,0,BA or more
752,male,black,HS,1983,9100,Some college
753,male,black,HS,1982,140000,Some college
754,male,hispanic,HS,1980,295000,HS
757,female,nonblacknonhispanic,PhD,1980,201750,BA or more
763,male,nonblacknonhispanic,PhD,1980,74000,BA or more
764,male,black,HS,1981,0,Some college
765,male,hispanic,BA,1983,105000,HS
767,female,nonblacknonhispanic,MA,1981,125000,BA or more
769,female,nonblacknonhispanic,HS,1980,111000,BA or more
772,female,nonblacknonhispanic,BA,1984,149955,BA or more
774,female,hispanic,AA,1981,50000,HS
775,male,nonblacknonhispanic,HS,1980,105000,HS
776,male,nonblacknonhispanic,HS,1984,97000,HS
778,female,nonblacknonhispanic,BA,1983,52000,BA or more
779,male,black,GED,1980,0,HS
782,female,nonblacknonhispanic,MA,1982,24341,BA or more
783,male,nonblacknonhispanic,BA,1984,87000,BA or more
785,male,nonblacknonhispanic,BA,1984,65100,Some college
789,male,nonblacknonhispanic,HS,1980,38479,Some college
790,male,nonblacknonhispanic,GED,1983,84000,Some college
791,female,nonblacknonhispanic,BA,1982,119802,BA or more
793,male,nonblacknonhispanic,AA,1983,55000,BA or more
796,female,nonblacknonhispanic,BA,1983,137000,BA or more
797,female,nonblacknonhispanic,BA,1981,46600,Some college
798,male,nonblacknonhispanic,MA,1983,325500,BA or more
799,male,nonblacknonhispanic,MA,1981,102075,Some college
800,male,nonblacknonhispanic,MA,1982,215000,BA or more
801,female,nonblacknonhispanic,BA,1984,100000,BA or more
802,female,hispanic,GED,1983,36100,HS
803,male,nonblacknonhispanic,None,1980,143000,less than HS
805,male,nonblacknonhispanic,HS,1980,150000,HS
807,female,hispanic,GED,1982,136341,HS
812,female,black,HS,1983,0,Some college
814,female,black,AA,1984,25471,HS
816,female,black,HS,1982,30000,HS
818,female,black,BA,1981,55650,BA or more
820,male,black,HS,1984,18810,BA or more
821,female,black,HS,1980,55000,HS
822,female,black,HS,1980,10000,HS
823,male,black,HS,1984,3000,HS
824,female,hispanic,HS,1980,190000,HS
